window_start_frame,window_end_frame,dominant_state,total_distance_px,active_frames,inactive_frames,dominant_zone,thigmotaxis_ratio,stereotypy_flag,behavior_notes
0,9000,Wake / Active,19745.04,2791,1206,MidRight,0.5752,False,
9000,18000,Quiet / Rest,11769.39,1648,1855,MidRight,0.7308,False,
18000,27000,Wake / Active,11399.46,1847,1544,MidLeft,0.604,False,
27000,36000,Wake / Active,12493.42,1971,1655,MidRight,0.7628,False,
36000,45000,Wake / Active,12707.47,2096,1387,MidRight,0.6891,False,
45000,54000,Wake / Active,11469.69,2038,1229,Center,0.4402,False,
54000,63000,Wake / Active,9649.98,1472,1480,MidRight,0.7503,False,
63000,72000,Wake / Active,9600.86,1595,1242,Center,0.5506,False,
72000,81000,Wake / Active,10152.91,1772,1628,Center,0.5544,False,
81000,90000,Wake / Active,10457.91,1710,1738,Center,0.5348,False,
90000,99000,Wake / Active,9787.07,1732,1608,Center,0.4033,False,
99000,108000,Quiet / Rest,8052.84,1395,1424,MidRight,0.796,False,
108000,117000,Wake / Active,10276.66,1809,1507,MidRight,0.6297,False,
117000,126000,Wake / Active,11191.65,2200,1344,MidLeft,0.7714,False,
126000,135000,Wake / Active,9353.06,1780,610,MidRight,0.7544,False,
135000,144000,Wake / Active,8684.78,1674,1282,MidRight,0.5639,True,
144000,153000,Wake / Active,10717.93,1930,1343,MidRight,0.685,False,
153000,162000,Wake / Active,9333.72,1882,1265,MidLeft,0.8214,False,
162000,171000,Wake / Active,10662.52,1906,1423,MidRight,0.6762,False,
171000,180000,Wake / Active,9719.6,1851,707,MidRight,0.7295,False,
180000,189000,Quiet / Rest,8098.93,1150,1960,MidRight,0.7023,False,
189000,198000,Wake / Active,7991.2,1420,1433,MidLeft,0.8977,False,
198000,207000,Quiet / Rest,9990.75,1654,2441,MidLeft,0.9624,True,
207000,216000,Quiet / Rest,5878.15,845,1868,MidLeft,0.5076,True,
216000,225000,Wake / Active,12384.53,2402,1449,MidLeft,0.8593,True,
225000,234000,Wake / Active,11028.7,1974,1109,MidRight,0.6017,False,
234000,243000,Quiet / Rest,5867.8,796,1940,Center,0.1181,False,
243000,252000,Wake / Active,9942.66,1687,1371,Center,0.5929,False,
252000,261000,Wake / Active,9705.6,1670,988,MidRight,0.7551,False,
261000,270000,Quiet / Rest,8373.16,1273,1303,MidRight,0.5881,False,
270000,279000,Wake / Active,11043.44,2063,791,MidRight,0.7744,False,
