window,timestamp_clock,rf_label,sgd_label,ensemble_label,rf_sgd_agree,ensemble_confidence,cumulative_agreement_pct
0,15:17:31,Wake / Active,Wake / Active,Wake / Active,True,0.8311,0.0
1,15:18:33,Wake / Active,Wake / Active,Wake / Active,True,0.8384,0.0
2,15:19:34,Wake / Active,Wake / Active,Wake / Active,True,0.8755,0.0
3,15:20:35,Wake / Active,Wake / Active,Wake / Active,True,0.8513,0.0
4,15:21:37,Wake / Active,Wake / Active,Wake / Active,True,0.872,0.0
5,15:22:43,Wake / Active,Wake / Active,Wake / Active,True,0.8557,0.0
6,15:23:46,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8468,0.0
7,15:25:16,Wake / Active,Wake / Active,Wake / Active,True,0.8739,0.0
8,15:26:24,Wake / Active,Wake / Active,Wake / Active,True,0.8854,0.0
9,15:27:40,Wake / Active,Wake / Active,Wake / Active,True,0.8426,0.0
10,15:28:44,Wake / Active,Quiet / Rest,Wake / Active,False,0.8927,100.0
11,15:29:57,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8944,100.0
12,15:31:15,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8684,100.0
13,15:32:35,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8023,100.0
14,15:33:59,Wake / Active,Wake / Active,Wake / Active,True,0.8399,100.0
15,15:35:17,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8849,100.0
16,15:36:24,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8807,100.0
17,15:37:52,Wake / Active,Quiet / Rest,Wake / Active,False,0.8661,100.0
18,15:39:33,Wake / Active,Quiet / Rest,Wake / Active,False,0.8805,100.0
19,15:40:41,Wake / Active,Wake / Active,Wake / Active,True,0.8598,100.0
20,15:41:51,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8583,100.0
21,15:43:03,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.915,100.0
22,15:44:07,Wake / Active,Quiet / Rest,Wake / Active,False,0.878,100.0
23,15:45:16,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8661,100.0
24,15:47:14,Wake / Active,Wake / Active,Wake / Active,True,0.8532,100.0
25,15:48:28,Wake / Active,Wake / Active,Wake / Active,True,0.8796,100.0
26,15:49:35,Wake / Active,Wake / Active,Wake / Active,True,0.8584,100.0
27,15:50:41,Wake / Active,Wake / Active,Wake / Active,True,0.875,100.0
28,15:51:46,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8934,100.0
29,15:53:11,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8381,100.0
30,15:54:27,Wake / Active,Wake / Active,Wake / Active,True,0.8669,100.0
31,15:55:50,Wake / Active,Quiet / Rest,Wake / Active,False,0.8996,100.0
32,15:57:09,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.847,100.0
33,15:58:52,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8111,100.0
34,16:00:13,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.9153,100.0
35,16:01:31,Wake / Active,Wake / Active,Wake / Active,True,0.8703,100.0
36,16:02:47,Wake / Active,Wake / Active,Wake / Active,True,0.8407,100.0
37,16:03:52,Wake / Active,Wake / Active,Wake / Active,True,0.8361,100.0
38,16:04:53,Wake / Active,Wake / Active,Wake / Active,True,0.8751,100.0
39,16:06:02,Wake / Active,Wake / Active,Wake / Active,True,0.8762,100.0
40,16:07:31,Wake / Active,Wake / Active,Wake / Active,True,0.8582,100.0
41,16:08:44,Wake / Active,Wake / Active,Wake / Active,True,0.8563,100.0
42,16:09:50,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8623,100.0
43,16:11:29,Wake / Active,Wake / Active,Wake / Active,True,0.8729,100.0
44,16:12:37,Wake / Active,Wake / Active,Wake / Active,True,0.8775,100.0
45,16:13:45,Wake / Active,Wake / Active,Wake / Active,True,0.8655,100.0
46,16:15:12,Wake / Active,Wake / Active,Wake / Active,True,0.8844,100.0
47,16:17:11,Wake / Active,Quiet / Rest,Wake / Active,False,0.8906,100.0
48,16:18:24,Wake / Active,Wake / Active,Wake / Active,True,0.8484,100.0
49,16:19:36,Wake / Active,Wake / Active,Wake / Active,True,0.8773,100.0
50,16:21:24,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8492,100.0
51,16:22:59,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8439,100.0
52,16:24:14,Wake / Active,Quiet / Rest,Wake / Active,False,0.8736,100.0
53,16:25:25,Possible Sleep,Possible Sleep,Possible Sleep,True,0.8193,100.0
54,16:27:55,Wake / Active,Wake / Active,Wake / Active,True,0.8901,100.0
55,16:29:39,Wake / Active,Wake / Active,Wake / Active,True,0.841,100.0
56,16:30:46,Wake / Active,Quiet / Rest,Wake / Active,False,0.8735,100.0
57,16:33:01,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.84,100.0
58,16:34:37,Wake / Active,Quiet / Rest,Wake / Active,False,0.8686,100.0
59,16:35:50,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.914,100.0
60,16:37:21,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.9143,100.0
61,16:38:57,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8732,100.0
62,16:40:21,Wake / Active,Wake / Active,Wake / Active,True,0.8639,100.0
63,16:41:34,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.875,100.0
64,16:43:09,Wake / Active,Wake / Active,Wake / Active,True,0.865,100.0
65,16:44:17,Wake / Active,Wake / Active,Wake / Active,True,0.8716,100.0
66,16:45:29,Wake / Active,Quiet / Rest,Wake / Active,False,0.8763,100.0
67,16:46:50,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.9034,100.0
68,16:47:51,Wake / Active,Quiet / Rest,Wake / Active,False,0.8864,100.0
69,16:48:56,Wake / Active,Quiet / Rest,Wake / Active,False,0.8892,100.0
70,16:50:00,Wake / Active,Wake / Active,Wake / Active,True,0.9013,100.0
71,16:51:08,Possible Sleep,Quiet / Rest,Possible Sleep,False,0.8634,100.0
72,16:52:47,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.9259,100.0
73,16:54:22,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8584,100.0
74,16:56:03,Wake / Active,Wake / Active,Wake / Active,True,0.8641,100.0
75,16:57:08,Wake / Active,Wake / Active,Wake / Active,True,0.8972,100.0
76,16:58:17,Wake / Active,Wake / Active,Wake / Active,True,0.8717,100.0
77,16:59:24,Wake / Active,Wake / Active,Wake / Active,True,0.8895,100.0
78,17:00:30,Wake / Active,Quiet / Rest,Wake / Active,False,0.8697,100.0
79,17:01:45,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.9205,100.0
80,17:03:21,Wake / Active,Wake / Active,Wake / Active,True,0.8149,100.0
81,17:04:41,Possible Sleep,Possible Sleep,Possible Sleep,True,0.9035,100.0
82,17:06:35,Wake / Active,Quiet / Rest,Wake / Active,False,0.8875,100.0
83,17:08:45,Wake / Active,Wake / Active,Wake / Active,True,0.8597,100.0
84,17:09:55,Wake / Active,Wake / Active,Wake / Active,True,0.8716,100.0
85,17:11:52,Wake / Active,Wake / Active,Wake / Active,True,0.8691,100.0
86,17:13:00,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8566,100.0
87,17:14:19,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8486,100.0
88,17:15:42,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8591,100.0
89,17:17:30,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.9038,100.0
90,17:19:26,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.9186,100.0
91,17:20:54,Quiet / Rest,Wake / Active,Wake / Active,False,0.8172,98.78
92,17:22:13,Wake / Active,Wake / Active,Wake / Active,True,0.8708,98.8
93,17:23:30,Wake / Active,Wake / Active,Wake / Active,True,0.8668,98.81
94,17:24:47,Wake / Active,Wake / Active,Wake / Active,True,0.877,98.82
95,17:25:49,Wake / Active,Quiet / Rest,Wake / Active,False,0.8911,98.84
96,17:27:00,Wake / Active,Wake / Active,Wake / Active,True,0.854,98.85
97,17:28:29,Wake / Active,Wake / Active,Wake / Active,True,0.8742,98.86
98,17:29:38,Wake / Active,Wake / Active,Wake / Active,True,0.8652,98.88
99,17:30:45,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8886,98.89
100,17:32:02,Wake / Active,Wake / Active,Wake / Active,True,0.8827,98.9
101,17:33:16,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8245,98.91
102,17:34:53,Wake / Active,Wake / Active,Wake / Active,True,0.8718,98.92
103,17:36:06,Wake / Active,Wake / Active,Wake / Active,True,0.874,98.94
104,17:37:15,Wake / Active,Wake / Active,Wake / Active,True,0.8425,98.95
105,17:38:17,Wake / Active,Wake / Active,Wake / Active,True,0.8531,98.96
106,17:39:37,Wake / Active,Wake / Active,Wake / Active,True,0.8458,98.97
107,17:40:51,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8947,98.98
108,17:45:14,Wake / Active,Wake / Active,Wake / Active,True,0.8459,98.99
109,17:46:46,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8737,99.0
110,17:49:34,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8852,99.01
111,17:51:03,Wake / Active,Wake / Active,Wake / Active,True,0.8974,99.02
112,17:52:25,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8769,99.03
113,17:53:43,Wake / Active,Wake / Active,Wake / Active,True,0.8538,99.04
114,17:54:51,Wake / Active,Wake / Active,Wake / Active,True,0.8841,99.05
115,17:56:12,Wake / Active,Wake / Active,Wake / Active,True,0.8636,99.06
116,17:57:20,Wake / Active,Wake / Active,Wake / Active,True,0.8819,99.07
117,17:58:31,Wake / Active,Wake / Active,Wake / Active,True,0.8924,99.07
118,17:59:45,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8899,99.08
119,18:01:25,Wake / Active,Wake / Active,Wake / Active,True,0.8536,99.09
120,18:02:50,Wake / Active,Wake / Active,Wake / Active,True,0.8708,99.1
121,18:04:29,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8947,99.11
122,18:05:45,Wake / Active,Wake / Active,Wake / Active,True,0.8642,99.12
123,18:07:05,Wake / Active,Wake / Active,Wake / Active,True,0.8642,99.12
124,18:08:37,Wake / Active,Wake / Active,Wake / Active,True,0.8671,99.13
125,18:10:23,Wake / Active,Wake / Active,Wake / Active,True,0.8439,99.14
126,18:11:35,Wake / Active,Wake / Active,Wake / Active,True,0.8609,99.15
127,18:12:42,Wake / Active,Wake / Active,Wake / Active,True,0.8793,99.15
128,18:14:13,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8758,99.16
129,18:15:31,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8688,99.17
130,18:17:00,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.9193,99.17
131,18:18:14,Wake / Active,Quiet / Rest,Wake / Active,False,0.8998,99.18
132,18:19:39,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8749,99.19
133,18:20:48,Wake / Active,Quiet / Rest,Wake / Active,False,0.8636,99.19
134,18:22:05,Wake / Active,Quiet / Rest,Wake / Active,False,0.8894,99.2
135,18:23:18,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.917,99.21
136,18:24:44,Wake / Active,Wake / Active,Wake / Active,True,0.8614,99.21
137,18:26:18,Wake / Active,Wake / Active,Wake / Active,True,0.8661,99.22
138,18:27:45,Wake / Active,Wake / Active,Wake / Active,True,0.8531,99.22
139,18:29:08,Wake / Active,Wake / Active,Wake / Active,True,0.8751,99.23
140,18:30:27,Wake / Active,Wake / Active,Wake / Active,True,0.8651,99.24
141,18:32:29,Wake / Active,Wake / Active,Wake / Active,True,0.8918,99.24
142,18:35:41,Wake / Active,Wake / Active,Wake / Active,True,0.8951,99.25
143,18:36:55,Wake / Active,Wake / Active,Wake / Active,True,0.8676,99.25
144,18:38:11,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8775,99.26
145,18:39:29,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8775,99.26
146,18:41:03,Quiet / Rest,Quiet / Rest,Quiet / Rest,True,0.8672,99.27
147,18:42:23,Possible Sleep,Possible Sleep,Possible Sleep,True,0.8913,99.28
148,18:43:56,Quiet / Rest,Possible Sleep,Quiet / Rest,False,0.7544,99.28
