timestamp,dominant_state,total_distance_px,active_frames,inactive_frames,dominant_zone,thigmotaxis_ratio,stereotypy_flag
15:18:09,Wake / Active,2846.19,294,6,Center,0.3467,False
15:18:49,Wake / Active,5354.72,300,0,Center,0.5967,False
15:19:29,Wake / Active,8242.73,300,0,Center,0.5533,False
15:20:09,Wake / Active,10346.78,300,0,MidRight,0.8267,False
15:20:49,Wake / Active,12744.29,292,8,MidRight,0.6833,False
15:21:29,Wake / Active,14971.28,295,5,MidRight,0.7733,False
15:22:09,Wake / Active,16799.12,267,33,Center,0.4567,False
15:22:49,Wake / Active,18210.32,247,53,MidRight,0.6167,False
15:23:29,Wake / Active,19638.2,246,54,Center,0.2367,True
15:24:09,Wake / Active,20605.6,152,148,MidRight,0.8,False
15:24:49,Quiet / Rest,21255.94,121,179,MidRight,0.81,True
15:25:29,Wake / Active,23001.7,272,28,Center,0.4867,False
15:26:09,Wake / Active,24676.16,292,8,MidRight,0.61,True
15:26:49,Wake / Active,25526.91,201,99,MidRight,0.7867,False
15:27:29,Wake / Active,27142.66,247,53,Center,0.4467,False
15:28:09,Wake / Active,29086.89,292,8,Center,0.5333,False
15:28:49,Wake / Active,31218.53,289,11,Center,0.4233,False
15:29:29,Wake / Active,32463.97,258,42,MidRight,0.59,False
15:30:09,Wake / Active,34084.68,231,69,Center,0.2733,False
15:30:49,Quiet / Rest,34783.15,131,169,MidRight,0.8933,True
15:31:29,Wake / Active,35705.71,196,104,MidRight,0.72,False
15:32:09,Quiet / Rest,36583.66,123,177,MidRight,0.98,False
15:32:49,Wake / Active,37577.62,165,135,MidRight,0.9833,False
15:33:29,Quiet / Rest,38084.6,90,210,MidRight,1.0,True
15:34:09,Quiet / Rest,38555.97,109,191,MidRight,1.0,True
15:34:49,Wake / Active,40189.41,183,117,MidRight,0.8733,False
15:35:29,Wake / Active,41536.86,225,75,Center,0.4967,False
15:36:09,Wake / Active,42955.27,255,45,MidRight,0.7533,False
15:36:49,Quiet / Rest,43646.29,108,192,MidRight,0.9767,False
15:37:29,Quiet / Rest,44408.9,108,192,MidRight,0.8867,True
15:38:09,Wake / Active,45611.45,238,62,MidLeft,0.9433,True
15:38:49,Quiet / Rest,45725.45,17,283,MidLeft,1.0,False
15:39:29,Wake / Active,47555.72,255,45,Center,0.1467,False
15:40:09,Wake / Active,48964.62,268,32,Center,0.43,False
15:40:49,Wake / Active,50227.97,261,39,MidLeft,0.59,False
15:41:29,Wake / Active,51670.16,247,53,MidLeft,0.7167,False
15:42:09,Wake / Active,53145.21,240,60,MidRight,0.79,False
15:42:49,Wake / Active,54132.11,201,99,Center,0.1433,True
15:43:29,Wake / Active,55534.39,254,46,MidLeft,0.9267,False
15:44:09,Wake / Active,56741.17,253,47,MidLeft,0.5667,True
15:44:49,Wake / Active,58249.03,261,39,MidLeft,0.74,False
15:45:29,Wake / Active,59584.08,193,107,Center,0.3667,False
15:46:09,Wake / Active,60645.36,199,101,MidRight,0.7833,False
15:46:49,Wake / Active,60974.51,247,53,Center,0.23,False
15:47:29,Wake / Active,61579.02,168,132,Center,0.05,False
15:48:09,Wake / Active,63704.13,246,54,Center,0.5467,False
15:48:49,Wake / Active,64848.38,198,102,MidRight,0.9167,False
15:49:29,Wake / Active,66666.43,288,12,MidRight,0.8667,False
15:50:09,Wake / Active,68774.67,298,2,Center,0.5767,False
15:50:49,Wake / Active,70728.64,260,40,MidLeft,0.6333,False
15:51:29,Wake / Active,72151.1,264,36,MidRight,0.8667,False
15:52:09,Wake / Active,73297.77,164,136,MidRight,0.8833,False
15:52:49,Wake / Active,74089.45,153,147,MidRight,0.6733,True
15:53:29,Wake / Active,74885.16,165,135,Center,0.38,True
15:54:09,Quiet / Rest,75568.09,107,193,MidRight,0.9733,False
15:54:49,Quiet / Rest,76221.96,117,183,MidRight,0.9633,True
15:55:24,Wake / Active,76864.82,159,104,MidRight,0.7034,True
