window,timestamp_clock,rf_label,sgd_label,agreement,confidence,cumulative_agreement_pct
0,15:17:31,Wake / Active,Wake / Active,True,0.0,0.0
1,15:18:33,Wake / Active,Wake / Active,True,1.0,0.0
2,15:19:34,Wake / Active,Wake / Active,True,1.0,0.0
3,15:20:35,Wake / Active,Wake / Active,True,,0.0
4,15:21:37,Wake / Active,Wake / Active,True,,0.0
5,15:22:43,Wake / Active,Wake / Active,True,,0.0
6,15:23:46,Quiet / Rest,Wake / Active,False,0.9078,0.0
7,15:25:16,Wake / Active,Wake / Active,True,,0.0
8,15:26:24,Wake / Active,Quiet / Rest,False,0.6656,0.0
9,15:27:40,Wake / Active,Wake / Active,True,0.9589,0.0
10,15:28:44,Wake / Active,Wake / Active,True,,100.0
11,15:29:57,Quiet / Rest,Wake / Active,False,,50.0
12,15:31:15,Quiet / Rest,Quiet / Rest,True,,66.67
13,15:32:35,Quiet / Rest,Quiet / Rest,True,,75.0
14,15:33:59,Wake / Active,Wake / Active,True,0.6889,80.0
15,15:35:17,Quiet / Rest,Wake / Active,False,,66.67
16,15:36:24,Quiet / Rest,Wake / Active,False,,57.14
17,15:37:52,Wake / Active,Wake / Active,True,,62.5
18,15:39:33,Wake / Active,Wake / Active,True,,66.67
19,15:40:41,Wake / Active,Wake / Active,True,,70.0
20,15:41:51,Quiet / Rest,Wake / Active,False,,63.64
21,15:43:03,Quiet / Rest,Wake / Active,False,0.9322,58.33
22,15:44:07,Wake / Active,Quiet / Rest,False,,53.85
23,15:45:16,Quiet / Rest,Quiet / Rest,True,,57.14
24,15:47:14,Wake / Active,Wake / Active,True,0.82,60.0
25,15:48:28,Wake / Active,Quiet / Rest,False,0.6178,56.25
26,15:49:35,Wake / Active,Wake / Active,True,,58.82
27,15:50:41,Wake / Active,Wake / Active,True,0.7822,61.11
28,15:51:46,Quiet / Rest,Quiet / Rest,True,,63.16
29,15:53:11,Quiet / Rest,Quiet / Rest,True,,65.0
30,15:54:27,Wake / Active,Wake / Active,True,,66.67
31,15:55:50,Wake / Active,Wake / Active,True,,68.18
