timestamp,bin_start_frame,bin_end_frame,mean_active_bodies,peak_active_bodies,mean_motion_energy,dominant_group_state,active_minutes
00:00:00,4,14998,3.715,5,0.01478,All Active,9.82
00:10:00,15000,29998,2.782,5,0.00908,Mostly Active,9.33
00:20:00,30000,44998,2.227,5,0.00721,Mostly Active,8.63
00:30:00,45000,59998,0.509,5,0.00125,All Resting,3.53
00:40:00,60000,74998,0.034,3,8e-05,All Resting,0.28
00:50:00,75000,89998,0.338,5,0.00097,All Resting,2.33
01:00:00,90000,104998,1.044,5,0.0029,All Resting,6.27
01:10:00,105000,119998,0.369,5,0.00087,All Resting,2.69
01:20:00,120000,134998,1.163,5,0.00319,All Resting,6.57
01:30:00,135000,149998,0.759,5,0.00212,All Resting,4.53
01:40:00,150000,164998,0.127,3,0.00023,All Resting,1.14
01:50:00,165000,179998,0.567,5,0.00148,All Resting,3.7
02:00:00,180000,194998,1.827,5,0.00518,Mostly Active,8.17
02:10:00,195000,209998,0.474,5,0.0009,All Resting,3.29
02:20:00,210000,224998,0.598,5,0.00137,All Resting,3.67
02:30:00,225000,239998,0.389,5,0.00081,All Resting,2.73
02:40:00,240000,254998,0.028,4,6e-05,All Resting,0.2
02:50:00,255000,269998,1.922,5,0.00563,Mostly Active,8.02
03:00:00,270000,284998,1.16,5,0.00319,All Resting,6.01
03:10:00,285000,299998,1.119,5,0.00307,All Resting,5.19
03:20:00,300000,314998,0.19,5,0.00056,All Resting,1.36
03:30:00,315000,329998,0.471,5,0.00126,All Resting,2.88
03:40:00,330000,344998,1.037,5,0.00263,All Resting,5.71
03:50:00,345000,359998,2.35,5,0.00751,Mostly Active,8.81
04:00:00,360000,374998,2.061,5,0.00638,Mostly Active,8.33
04:10:00,375000,389998,1.184,5,0.00312,All Resting,6.14
04:20:00,390000,404998,1.005,5,0.00249,All Resting,5.65
04:30:00,405000,419998,1.518,5,0.00459,Mostly Active,7.03
04:40:00,420000,434998,1.057,5,0.0032,All Resting,5.61
04:50:00,435000,449998,0.47,5,0.00133,All Resting,3.31
05:00:00,450000,464998,0.349,5,0.00086,All Resting,2.22
05:10:00,465000,479998,0.177,4,0.00042,All Resting,1.27
05:20:00,480000,494998,0.083,4,0.00021,All Resting,0.64
05:30:00,495000,509998,0.4,5,0.00096,All Resting,2.37
05:40:00,510000,524998,1.613,5,0.00499,Mostly Active,7.07
05:50:00,525000,539998,1.623,5,0.00501,Mostly Active,7.37
06:00:00,540000,554998,1.887,5,0.00606,Mostly Active,7.59
06:10:00,555000,569998,2.076,5,0.00576,Mostly Active,8.78
06:20:00,570000,584998,0.881,5,0.00239,All Resting,5.17
06:30:00,585000,599998,0.576,4,0.00194,All Resting,3.75
06:40:00,600000,614998,0.233,5,0.0007,All Resting,1.7
06:50:00,615000,629998,1.245,5,0.00366,All Resting,6.53
07:00:00,630000,644998,2.616,5,0.00763,Mostly Active,9.27
07:10:00,645000,659998,2.305,5,0.00772,Mostly Active,8.61
07:20:00,660000,674998,1.946,5,0.00581,Mostly Active,7.77
07:30:00,675000,689998,1.327,5,0.00436,All Resting,6.14
07:40:00,690000,704998,0.759,5,0.00221,All Resting,4.59
07:50:00,705000,719998,1.137,5,0.00357,All Resting,6.25
08:00:00,720000,734998,1.084,5,0.00348,All Resting,5.85
08:10:00,735000,749998,0.467,5,0.00116,All Resting,3.29
08:20:00,750000,764998,0.943,5,0.00263,All Resting,5.16
08:30:00,765000,779998,1.325,5,0.00399,Mostly Active,6.94
08:40:00,780000,794998,1.041,5,0.00301,All Resting,5.97
08:50:00,795000,809998,0.68,5,0.0019,All Resting,4.55
09:00:00,810000,824998,1.055,5,0.00286,All Resting,5.95
09:10:00,825000,839998,1.564,5,0.00474,Mostly Active,7.46
09:20:00,840000,854998,1.609,5,0.00509,Mostly Active,7.29
09:30:00,855000,869998,1.52,5,0.0045,Mostly Active,7.34
09:40:00,870000,880248,1.318,5,0.00426,All Resting,6.41
