grid_0,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8,grid_9,grid_10,grid_11,grid_12,grid_13,grid_14,grid_15,movement_cm,weight_g,gate_open,hour,minute,label
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04186137855754317,25.525549277784837,0.0,15.34624316298921,0,sleeping
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.15160658643100872,25.39456865145978,0.0,14.171820298776952,0,sleeping
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.29839655983662705,24.383249856726497,0.0,13.469881510526712,0,resting
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2399315498306034,24.612578458364144,0.0,18.211376811114413,30,resting
0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,12.635237314023959,24.41494509907721,0.0,2.453046636476369,15,exploring
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2955664561982273,24.460748349825316,0.0,16.909724069158163,15,sleeping
0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,4.6807006975107734,24.819105987048772,0.0,20.79560800212647,0,active
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5160341906660042,24.420807627537485,0.0,14.619144136007716,30,resting
0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.6046591480893158,25.808876196090694,1.0,23.748560415278284,30,active
0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,4.988055246609031,25.357227475804763,0.0,5.103037057299375,45,active
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5.023128630134951,25.148079911247176,0.0,21.547749206459446,15,active
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4.383553713444512,24.823506764156754,0.0,19.00990474471114,45,active
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7122550692308667,25.62531924058751,0.0,12.698744282379288,30,resting
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5083513356962858,25.548170717765075,0.0,18.446369583778704,30,resting
0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,10.315032240957006,25.087978172060005,1.0,23.325314372882744,0,exploring
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26361656334695527,24.516152961210548,0.0,14.374670027045497,30,sleeping
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.264093013680354,25.488698573868756,0.0,5.746855448113411,15,active
0,0,0,0,0,0,2,0,0,1,0,1,1,1,1,0,13.196912677143564,24.931965052394816,0.0,3.081395147994307,45,exploring
1,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0,6.5668587991092275,25.044786815033213,0.0,2.9041007008383772,15,exploring
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3186975181561521,25.593107467374853,0.0,12.941614353474112,45,resting
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3.694314492079683,24.36737905515469,0.0,19.37992794639944,0,active
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2.760835633763246,25.13298113854935,0.0,1.4547041778483276,45,active
1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,13.41093586406502,25.140204816539242,0.0,3.3643751302745875,45,exploring
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.44107580707922456,24.80366099933004,0.0,11.552602031304948,45,resting
0,2,0,0,1,0,2,0,0,1,1,0,0,0,0,1,6.457322183259865,24.591714662198665,0.0,6.364873396131647,15,exploring
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.61510220527311,24.761379704492953,0.0,1.3651099134884284,15,active
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.28041187732092815,25.179951332840485,0.0,13.894057380173056,15,sleeping
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1.132354392543708,25.608805089865974,0.0,6.374748300752492,0,drinking
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.023538776195061,25.249510106866822,1.0,0.22357096522191355,0,active
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.671452814850334,25.274057755241515,0.0,21.102485819629027,30,active
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.7308573408382044,25.397197468142284,0.0,22.362144946465857,30,drinking
0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,5.6213459643172925,25.316318275191694,0.0,6.762150514989463,0,active
